tmdb_id,title,original_title,release_date,origin_country,language,genres,keywords,runtime,short_summary,tagline,status,budget,revenue,production_companies,production_countries,poster_url,backdrop_url,homepage,trailer_url,imdb_id,wikidata_id,instagram_id,instagram_url,twitter_id,twitter_url,facebook_id,facebook_url,popularity,vote_average,vote_count
1582770,Dhurandhar: The Revenge,धुरंधर: द रिवेंज,2026-03-18,IN,hi,"Action, Crime, Thriller","undercover, propaganda, espionage, politics, spy, traitor, patriotism, nationalism, gore, gang leader, pakistan, sequel, betrayal, conspiracy, torture",229,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",The Story of The Unknown Men Unfolds,Released,22500000,150000000,"Jio Studios, B62 Studios",India,https://image.tmdb.org/t/p/w500/ov8vrRLZGoXHpYjSY9Vpv1tHJX7.jpg,https://image.tmdb.org/t/p/original/owQeDouUZ6wI6f1aTOYEFd511zn.jpg,,https://www.youtube.com/watch?v=NHk7scrb_9I,tt39139925,Q137998501,,,,,,,73.76,7.6,43
1403735,Laila,లైలా,2025-02-14,IN,te,"Comedy, Romance",,134,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",,Released,,,Shine Screens,India,https://image.tmdb.org/t/p/w500/aFogllaRGlAhk1nqvVGFpZpl4qU.jpg,https://image.tmdb.org/t/p/original/vNUwK5P42m81uG57kKI1WxSZwIQ.jpg,,https://www.youtube.com/watch?v=FyhFBHpTh6Y,tt32831759,,,,,,,,18.44,4.6,7
1634301,Vanaveera,Vanaveera,2026-02-13,IN,te,"Action, Drama",,,A descendant of the Vanara clan is pushed into conflict when a modern-day Ravana seizes his only bike for an election rally. What starts as a petty injustice soon erupts into a fierce fight for self-respect and dignity.,,Released,,,,,https://image.tmdb.org/t/p/w500/oBYExKI8E3bTzQjPkofhpV2EJon.jpg,https://image.tmdb.org/t/p/original/lmns2jlRmATs8OGWKcCkgrbHLM4.jpg,,https://www.youtube.com/watch?v=U7_VZlGApBI,,,,,,,,,63.97,7.2,4
848116,Rocky Aur Rani Kii Prem Kahaani,रॉकी और रानी की प्रेम कहानी,2023-07-28,IN,hi,"Comedy, Drama, Family, Romance","musical, nostalgia, love interest, nostalgic, wealthy family",179,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?",The power of family will decide the fate of love,Released,,,"Dharma Productions, Viacom18 Studios",India,https://image.tmdb.org/t/p/w500/vTQIqlxUkOuyf2UKhlM2OUaFGKz.jpg,https://image.tmdb.org/t/p/original/61RYedFgX1K07xgVIvdJzukSR4g.jpg,https://www.youtube.com/@dharmamovies,https://www.youtube.com/watch?v=LHm2RyKo0_M,tt14993250,Q108392396,,,,,,,145.16,6.0,78
1511417,Bāhubali: The Epic,Bāhubali: The Epic,2025-10-29,IN,te,"Action, Drama","affectation, flashback, revenge, alternate history, historical fiction, fratricide, ancient india, regicide, multi generational, absurd, hindu shiva, multiple timelines, remastered, epic film, director's cut",224,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.",,Released,65000000,3500000,Arka Media Works,India,https://image.tmdb.org/t/p/w500/z9YIo2qscyaXYgRqIdRJtND3bw8.jpg,https://image.tmdb.org/t/p/original/wCwZ4ljSsWyZyTiyk1tGQtBHTDx.jpg,https://baahubali.com/,https://www.youtube.com/watch?v=q8nbZbHRcEg,tt37893389,,baahubalimovie,https://www.instagram.com/baahubalimovie/,BaahubaliMovie,https://twitter.com/BaahubaliMovie,BaahubaliMovie,https://www.facebook.com/BaahubaliMovie,35.96,6.0,34
1083637,Kantara - A Legend: Chapter 1,ಕಾಂತಾರ: ಅಧ್ಯಾಯ - ೧,2025-10-01,IN,kn,"Action, Drama, Fantasy",,165,"During the Kadamba reign, King Vijayendra, the ruler of the fictional feudatory land of Bangra, meets his final fate while venturing into the mystical forest of Kantara. Witnessing this, his son Rajashekara seals the borders of their realm. Later, Prince Kulashekara reopens them through a brutal massacre. The protagonist, Berme, in search of prosperity, crosses the divide and ignites a conflict of faith, power, and destiny between the Kingdom and Nature.",,Released,14000000,91000000,Hombale Films,India,https://image.tmdb.org/t/p/w500/ehQPboTPaIMkMUOoNOh8e7pZ5Rp.jpg,https://image.tmdb.org/t/p/original/w57nxiBIODAYHLRs1xmrCY9zEFe.jpg,,https://www.youtube.com/watch?v=TMQUFhWm8C0,tt26439764,Q122021056,,,,,,,19.64,7.0,70
1339876,Mardaani 3,मर्दानी 3,2026-01-30,IN,hi,"Action, Crime, Thriller",,130,"Officer Shivani Shivaji Roy returns to hunt down those behind the disappearance of young girls, risking everything to bring them back alive.",Rescue begins,Released,,,,India,https://image.tmdb.org/t/p/w500/dHxLBtHw4InwsVumnthupZYz6NM.jpg,https://image.tmdb.org/t/p/original/pfcyWSaPKGagqdunfBXQYCqZHxx.jpg,,https://www.youtube.com/watch?v=V4TJKSEftkU,tt27673536,Q131763755,,,,,,,68.24,7.1,10
1291608,Dhurandhar,धुरंधर,2025-12-05,IN,hi,"Action, Crime, Thriller","asia, patriotism, nationalism, controversy, gore, pakistan, torture, terrorism, india, terrorist attack, gun violence, bloodshed, political corruption, 1990s, spy thriller",212,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",,Released,22500000,170000000,"B62 Studios, Jio Studios",India,https://image.tmdb.org/t/p/w500/snBOuXDdhmTvlzMUvP9Em3Pp1u1.jpg,https://image.tmdb.org/t/p/original/4DfxcN4w0FuYZHQ3JAHzpHWia1U.jpg,,https://www.youtube.com/watch?v=CN0lNff-zm0,tt33014583,Q135230927,,,,,,,44.88,7.0,229
1561687,Made in Korea,மேட் இன் கொரியா,2026-03-12,IN,ta,Drama,"foreigner, south korea, seoul, south korea",113,A woman from a small town in Tamil Nadu moves to South Korea — a place she always dreamed of — but struggles to find her footing in a foreign land.,,Released,,,Rise East Entertainments Pvt Ltd,India,https://image.tmdb.org/t/p/w500/foEObhyAMM3dxYeBEr242EdQDB7.jpg,https://image.tmdb.org/t/p/original/aOZlZ5ceIpUVjJaFBl0vQjGTieI.jpg,,https://www.youtube.com/watch?v=RmLegZv1TZk,tt38674977,,,,,,,,10.42,6.8,24
1643729,Ishqa'n De Lekhe,Ishqa'n De Lekhe,2026-03-06,IN,pa,"Drama, Romance, Music",,143,"Starring the sensational Gurnam Bhullar alongside the stunning Isha Malviya, this Punjabi cinema is crafted for every soul that has ever loved deeply. Directed by the talented Manvir Brar, Ishqa'n De Lekhe is set to redefine Punjabi romance on the big screen.",,Released,,,,,https://image.tmdb.org/t/p/w500/g3EpAFlNGqkYxkw8cHOANzi8u1.jpg,,,https://www.youtube.com/watch?v=Etto7UB3Q5Q,tt39385906,,,,,,,,9.18,10.0,1
