tmdb_id,show_title,season_number,season_name,air_date,episode_count,overview,poster_url,season_id
102823,Mastram,1,Season 1,2020-04-30,10,Rajaram is a struggling writer who is branded as boring and is humiliated by the publishers when they tell him that he will never find any readers. A disheartened Rajaram talks to his best friend and decides to write about fantasies people have and his first hit character is born. With this first ch,https://image.tmdb.org/t/p/w500/j9FnTVX6SNSFSCy953rNmoyGOyM.jpg,149527
242722,Shrimad Ramayan,1,Season 1,2024-01-01,341,"An epic tale that explores the eternal battle between the good and evil, highlighting the quest for righteousness and spiritual awakening.",https://image.tmdb.org/t/p/w500/aCDK83ykQYnQGFOTfiLjnoqXv1b.jpg,372455
301734,Muthu Alias Kaattaan,1,Season 1,2026-03-27,10,,https://image.tmdb.org/t/p/w500/ywReX2OV9vVyZLDBz3K35CwsoFa.jpg,477323
116479,Anupamaa,1,Season 1,2020-07-13,1775,"Despite the many challenges thrown her way, Anupama begins a new chapter of her life post-divorce. Head held always high, what's waiting for her next?",https://image.tmdb.org/t/p/w500/i3ZcFxUiGr6HV5yv1i6n7uKHyj7.jpg,176066
204889,Mithai,1,Season 1,2021-01-04,875,,https://image.tmdb.org/t/p/w500/qq7evLWl1rXLzdzqKqJmvqucFei.jpg,298803
125364,Palang Tod,1,Season 1,2020-12-25,33,,https://image.tmdb.org/t/p/w500/3jAeJu40uKy0ondWdzQxu0A97MT.jpg,194478
271879,Jagriti - Ek Nayi Subah,1,Season 1,2024-09-16,481,,https://image.tmdb.org/t/p/w500/cSmm0EY0UNA6dP747QevG9Dd5gN.jpg,419216
247769,The Great Indian Kapil Show,1,Season 1,2024-03-30,13,"Comedian Kapil Sharma hosts this laugh-out-loud variety talk show with celebrity guests, hilarious antics and his signature supporting cast.",https://image.tmdb.org/t/p/w500/lSR8Pn996v5Xfr3SpgO2sRhwamk.jpg,381542
247769,The Great Indian Kapil Show,2,Season 2,2024-09-21,13,"Comedian Kapil Sharma brings desi fun to an all-new season featuring celebrity guests, side-splitting gags and a dash of classic Indian charm.",https://image.tmdb.org/t/p/w500/2yFoz0EHXMlDIqDm6wo6XHv2wiY.jpg,417968
247769,The Great Indian Kapil Show,3,Season 3,2025-06-21,14,"Season 3 of The Great Indian Kapil Show brings back India’s most loved comedy talk show with a grander scale, sharper humor, and an even wider range of celebrity guests. Hosted by Kapil Sharma, the season once again combines laugh-out-loud sketches, candid celebrity interviews, and musical performan",https://image.tmdb.org/t/p/w500/iaQFw0MVltVqnIVSTkLuArX4Kim.jpg,457951
247769,The Great Indian Kapil Show,4,Season 4,2025-12-20,13,,https://image.tmdb.org/t/p/w500/zDcZG6bCf6crscEnEF19MMNIi9j.jpg,487908
248064,Heart Beat,1,Season 1,2024-03-08,100,,https://image.tmdb.org/t/p/w500/odnF5hyuYI8itcMLxFT6H9IpKoT.jpg,382055
248064,Heart Beat,2,Season 2,2025-05-22,100,"Reena has become Reena 2.0, Radhi has embraced a new full-time role, and new interns have joined RK Multispeciality to bring fresh rhythm and beats to the hospital.",https://image.tmdb.org/t/p/w500/840EXoNfqBqI6or4CjzDabk9379.jpg,456357
257530,Laughter Chefs Unlimited Entertainment,1,Season 1,2024-06-01,36,,https://image.tmdb.org/t/p/w500/8hetcOLJCcPKrI8Jg9qjpxpJXDN.jpg,399333
257530,Laughter Chefs Unlimited Entertainment,2,Season 2,2025-01-25,54,,https://image.tmdb.org/t/p/w500/xsCSaWMGR3AM9I59J1HhJ1n9quX.jpg,437401
257530,Laughter Chefs Unlimited Entertainment,3,Season 3,2025-11-22,40,,https://image.tmdb.org/t/p/w500/vmxodf7o1jdnWZlN9uSeQWTaBqw.jpg,485292
307959,LBW: Love Beyond Wicket,1,Season 1,2026-01-01,100,"A washed-up PT teacher, a legendary coach and a generation of misfit students come together to save a legacy.",https://image.tmdb.org/t/p/w500/377e5wW40qpfdxqgizgPmYZtKNu.jpg,488878
285581,Brother-in-Laws,1,Season 1,2020-02-24,293,"Aliyans (Brother-in-Laws) is a hit Malayalam sitcom on Kaumudy TV, directed by Rajesh Thalachira. It premiered on February 24, 2020, as a sequel to Aliyan vs Aliyan (Brother-in-Law vs Brother-in-Law). Set in Thiruvananthapuram, the show follows Ratnamma and her family, centering on the love-hate dyn",https://image.tmdb.org/t/p/w500/5J5Tkd4owWs3c9pxt9D5wdzjeFP.jpg,444786
111453,Ghum Hai Kisikey Pyaar Meiin,1,Season 1,2020-10-05,898,,https://image.tmdb.org/t/p/w500/u3NVGYCpkAgBArXogLuHPfpSNwG.jpg,165574
111453,Ghum Hai Kisikey Pyaar Meiin,2,Season 2,2023-06-28,96,,https://image.tmdb.org/t/p/w500/n1uqnqn0BCZ04re6VZntFOcKtMP.jpg,347197
111453,Ghum Hai Kisikey Pyaar Meiin,3,Season 3,2025-02-11,1,,,447268
316879,Chiraiya,1,Season 1,2026-03-20,6,,https://image.tmdb.org/t/p/w500/ejw5lUp3IL4wxFqiGZqjVCB5Cdi.jpg,505787
113218,Imlie,1,Season 1,2020-11-16,579,,https://image.tmdb.org/t/p/w500/brajFHvqeitbp7ifevWpFpirS4S.jpg,168903
113218,Imlie,2,Season 2,2022-09-19,370,,https://image.tmdb.org/t/p/w500/aVAQ6q6TRiWAIgFd2hC5h4iWLp2.jpg,318275
113218,Imlie,3,Season 3,2023-09-11,21,,https://image.tmdb.org/t/p/w500/41Aik5UxsTq0WdPZ6G15uAV7ti6.jpg,356349
242528,Doree,1,Season 1,2023-11-06,227,,https://image.tmdb.org/t/p/w500/4T5OlK6vHkJWS8hz3micBwpnCjg.jpg,372109
242528,Doree,2,Season 2,2025-01-21,109,"Now a grown-up Doree dreams of becoming a fashion designer, but her life takes an unexpected turn when she finds and cares for an abandoned baby girl. Now a single mother, Doree faces challenges and struggles to find her place in the world.",https://image.tmdb.org/t/p/w500/xCln59NZ0ldmfsf1npAemNjm5uy.jpg,446718
247043,The Ba***ds of Bollywood,1,Season 1,2025-09-18,7,,https://image.tmdb.org/t/p/w500/sJJXplDoRVuy4vCGbRGaJYa9sNB.jpg,380286
195900,Mai: A Mother's Rage,1,Season 1,2022-04-15,6,"A grieving mother discovers the criminals behind her daughter's tragic death, and transforms from meek to merciless to get the real story.",https://image.tmdb.org/t/p/w500/Aet3WvxjjcITjVDWsWDDYcAZomH.jpg,284709
236438,Mansion 24,1,Season 1,2023-10-17,6,"When Kalidas, one of the most revered archaeologists in the country, accused of stealing precious artefacts and fleeing the country, his daughter Amrutha an investigative journalist, enters an abandoned mansion with a frightening past, to trace his whereabouts and restore his legacy.",https://image.tmdb.org/t/p/w500/zkASOx26NsDohpDm3jNqlp5WnEu.jpg,359648
203504,Aashiqana,1,Season 1,2022-06-06,66,,https://image.tmdb.org/t/p/w500/rZH5neYfNwdGKvEdgyE5jiTsPJV.jpg,296374
203504,Aashiqana,2,Season 2,2022-10-10,60,,https://image.tmdb.org/t/p/w500/bmkcyS8hH9vw6p40qdE80ZaQunu.jpg,311285
203504,Aashiqana,3,Season 3,2023-02-27,60,"Embracing new beginnings, Yash and Chikki reignite their love on a romantic getaway. But their serenity turns into chaos as the masked killers spring back into action.",https://image.tmdb.org/t/p/w500/aHQPoBnxMHZkwkl8PszqJsg8Mfl.jpg,329117
203504,Aashiqana,4,Season 4,2023-07-24,42,,https://image.tmdb.org/t/p/w500/eDfnUGNq1Axp5Io1BvLl7FNyu7W.jpg,349876
215315,Rabb Se Hai Dua,1,Season 1,2022-11-28,278,,https://image.tmdb.org/t/p/w500/iwT2YSMla7bEcqVlt2kJqeCHm60.jpg,317967
215315,Rabb Se Hai Dua,2,Season 2,,0,,,446352
